CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
252686	R -3 c H	(La0.8 Ba0.1 Ca0.1) Mn O3	LaAlO3	Gdaiem, Mohamed Amara; Ghodhbane, S.; Dhahri, Ah.; Dhahri, J.; Hlil, E.K.	5.4999(2) 5.4999(2) 13.543(10) 90. 90. 120.	354.78	295.00	0.101325	2016	10	
252799	P -3 m 1	Fe (Fe0.45 Mn2.55) Si2 Sn7 O16	Fe4Si2Sn7O16	Allison, M.C.; Avdeev, M.; Schmid, S.; Liu, S.; Soehnel, T.; Ling, C.D.	6.86418(7) 6.86418(7) 9.15941(14) 90.00000 90.00000 120.00000	373.74	298.00	0.101325	2016	10	
252801	P -3 m 1	Fe (Fe1.40 Mn1.60) Si2 Sn7 O16	Fe4Si2Sn7O16	Allison, M.C.; Avdeev, M.; Schmid, S.; Liu, S.; Soehnel, T.; Ling, C.D.	6.85089(20) 6.85089(20) 9.1531(3) 90.00000 90.00000 120.00000	372.04	298.00	0.101325	2016	10	
252802	P -3 m 1	Fe (Fe2.19 Mn0.81) Si2 Sn7 O16	Fe4Si2Sn7O16	Allison, M.C.; Avdeev, M.; Schmid, S.; Liu, S.; Soehnel, T.; Ling, C.D.	6.83663(14) 6.83663(14) 9.14429(19) 90.00000 90.00000 120.00000	370.13	298.00	0.101325	2016	10	
253827	R -3 c H	(La0.6 Gd0.1 Sr0.3) Mn O3	LaAlO3	Dhahri, Ah.; Dhahri, E.; Hlil, E.K.	5.4947(5) 5.4947(5) 13.3423(2) 90. 90. 120.	348.86	295.00	0.101325	2017	10	
253837	R -3 c H	(La0.7 Ca0.1 Pb0.2) Mn O3	LaAlO3	Dhahri, Khadija; Dhahri, N.; Dhahri, J.; Taibi, K.; Hlil, E.K.	5.5345(10) 5.5345(10) 13.4017(5) 90. 90. 120.	355.50	295.00	0.101325	2017	10	
257063	R -3 c H	(Zn0.46 Mn0.54) Ta O2 N	LiNbO3(R3-c)	Kuno, Yoshinori; Tassel, Cedric; Fujita, Koji; Batuk, Dmitry; Abakumov, Artem M.; Shitara, Kazuki; Kuwabara, Akihide; Moriwake, Hiroki; Watabe, Daichi; Ritter, Clemens; Brown, Craig M.; Yamamoto, Takafumi; Takeiri, Fumitaka; Abe, Ryu; Kobayashi, Yoji; Tanaka, Katsuhisa; Kageyama, Hiroshi	5.29173(3) 5.29173(3) 14.0837(1) 90. 90. 120.	341.54	293.00	0.101325	2016	10	
257064	R -3 c H	(Zn0.54 Mn0.46) Ta O2 N	LiNbO3(R3-c)	Kuno, Yoshinori; Tassel, Cedric; Fujita, Koji; Batuk, Dmitry; Abakumov, Artem M.; Shitara, Kazuki; Kuwabara, Akihide; Moriwake, Hiroki; Watabe, Daichi; Ritter, Clemens; Brown, Craig M.; Yamamoto, Takafumi; Takeiri, Fumitaka; Abe, Ryu; Kobayashi, Yoji; Tanaka, Katsuhisa; Kageyama, Hiroshi	5.28377(2) 5.28377(2) 14.08983(9) 90. 90. 120.	340.66	293.00	0.101325	2016	10	
257065	R -3 c H	(Zn0.74 Mn0.26) Ta O2 N	LiNbO3(R3-c)	Kuno, Yoshinori; Tassel, Cedric; Fujita, Koji; Batuk, Dmitry; Abakumov, Artem M.; Shitara, Kazuki; Kuwabara, Akihide; Moriwake, Hiroki; Watabe, Daichi; Ritter, Clemens; Brown, Craig M.; Yamamoto, Takafumi; Takeiri, Fumitaka; Abe, Ryu; Kobayashi, Yoji; Tanaka, Katsuhisa; Kageyama, Hiroshi	5.25759(2) 5.25759(2) 14.1013(1) 90. 90. 120.	337.57	293.00	0.101325	2016	10	
257066	R -3 c H	(Zn0.94 Mn0.06) Ta O2 N	LiNbO3(R3-c)	Kuno, Yoshinori; Tassel, Cedric; Fujita, Koji; Batuk, Dmitry; Abakumov, Artem M.; Shitara, Kazuki; Kuwabara, Akihide; Moriwake, Hiroki; Watabe, Daichi; Ritter, Clemens; Brown, Craig M.; Yamamoto, Takafumi; Takeiri, Fumitaka; Abe, Ryu; Kobayashi, Yoji; Tanaka, Katsuhisa; Kageyama, Hiroshi	5.253181(16) 5.253181(16) 14.10557(8) 90. 90. 120.	337.11	293.00	0.101325	2016	10	
258104	R -3 c H	La0.5 Sm0.1 Sr0.4 Mn O3	LaAlO3	Dhahri, M.; Zaidi, Asma; Cherif, K.; Dhahri, J.; Hlil, E.K.	5.477(4) 5.477(4) 13.374(5) 90. 90. 120.	347.44	293.00	0.101325	2017	10	
258393	R -3 c H	La0.67 Ba0.18 Zn0.15 Mn O3	LaAlO3	Zaidi, Asma.; Mohamed, Z.; Dhahri, J.; Hlil, E.K.; Alharbi, T.; Zaidi, M.	5.5503(2) 5.5503(2) 13.4852(4) 90. 90. 120.	359.77	293.00	0.101325	2016	10	
258394	R -3 c H	La0.67 Ba0.13 Zn0.2 Mn O3	LaAlO3	Zaidi, Asma.; Mohamed, Z.; Dhahri, J.; Hlil, E.K.; Alharbi, T.; Zaidi, M.	5.5512(1) 5.5512(1) 13.4547(6) 90. 90. 120.	359.07	293.00	0.101325	2016	10	
258573	P -3 m 1	Ba6 Na2 Nb2 Mn2 O17		Han, Yifeng; Ye, Xuanhong; Zhu, Hong; Li, Yuexiang; Kuang, Xiaojun	5.85394(3) 5.85394(3) 14.7578(1) 90. 90. 120.	437.97	293.00	0.101325	2017	10	
258574	P -3 m 1	Ba6 Na2 Ta2 Mn2 O17		Han, Yifeng; Ye, Xuanhong; Zhu, Hong; Li, Yuexiang; Kuang, Xiaojun	5.85300(3) 5.85300(3) 14.7543(1) 90. 90. 120.	437.73	293.00	0.101325	2017	10	
