CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
37543	P m -3 m	La0.5 Ba0.5 Fe0.5 Mn0.5 O3	CaTiO3	Dutta, Uma; Hossain, Aslam; Walke, Pravin S.; Ghosh, Debamalya; Mordvinova, Natalia E.; Lebedev, Oleg I.; Haque, Ariful; Pal, Kamalesh; Gayen, Arup; Kundu, Asish K.; Seikh, Md. Motin	3.921(1) 3.921(1) 3.921(1) 90. 90. 90.	60.28	293.00	0.101325	2019	-1	
38738	P m -3 m	Pr0.5 Ba0.5 Mn0.5 Fe0.5 O3	CaTiO3	Kudyakova, V.S.; Shalamova, A.M.; Politov, B.V.; Suntsov, A.Yu.	3.902(2) 3.902(2) 3.902(2) 90. 90. 90.	59.41	293.00	0.101325	2021	-1	
54178	P m -3 m	(La0.7 Ba0.3) (Co0.9 Mn0.1) O3	CaTiO3	Cherepanov, V.A.; Filonova, E.A.; Voronin, V.I.; Berger, I.F.	3.867(1) 3.867(1) 3.867(1) 90. 90. 90.	57.83	293.00	0.101325	2000	-1	
54179	P m -3 m	(La0.7 Ba0.3) (Co0.8 Mn0.2) O3	CaTiO3	Cherepanov, V.A.; Filonova, E.A.; Voronin, V.I.; Berger, I.F.	3.8703(6) 3.8703(6) 3.8703(6) 90. 90. 90.	57.97	293.00	0.101325	2000	-1	
54180	P m -3 m	(La0.7 Ba0.3) (Co0.6 Mn0.4) O3	CaTiO3	Cherepanov, V.A.; Filonova, E.A.; Voronin, V.I.; Berger, I.F.	3.8777(8) 3.8777(8) 3.8777(8) 90. 90. 90.	58.31	293.00	0.101325	2000	-1	
54181	P m -3 m	(La0.6 Ba0.4) (Co0.9 Mn0.1) O3	CaTiO3	Cherepanov, V.A.; Filonova, E.A.; Voronin, V.I.; Berger, I.F.	3.8731(8) 3.8731(8) 3.8731(8) 90. 90. 90.	58.10	293.00	0.101325	2000	-1	
54182	P m -3 m	(La0.5 Ba0.5) (Co0.95 Mn0.05) O3	CaTiO3	Cherepanov, V.A.; Filonova, E.A.; Voronin, V.I.; Berger, I.F.	3.8749(6) 3.8749(6) 3.8749(6) 90. 90. 90.	58.18	293.00	0.101325	2000	-1	
70658	P m -3 m	(Bi0.98 Gd0.02) (Fe0.95 Mn0.05) O3	CaTiO3	Irandoust, Rozhin; Gholizadeh, Ahmad	3.953(1) 3.953(1) 3.953(1) 90. 90. 90.	61.77	293.00	0.101325	2020	-1	
70659	P m -3 m	(Bi0.98 Y0.02) (Fe0.95 Mn0.05) O3	CaTiO3	Irandoust, Rozhin; Gholizadeh, Ahmad	3.954(0) 3.954(0) 3.954(0) 90. 90. 90.	61.82	293.00	0.101325	2020	-1	
70660	P m -3 m	(Bi0.97 Gd0.03) (Fe0.95 Mn0.05) O3	CaTiO3	Irandoust, Rozhin; Gholizadeh, Ahmad	3.953(4) 3.953(4) 3.953(4) 90. 90. 90.	61.77	293.00	0.101325	2020	-1	
