CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
85645	I m m a	(Nd0.25 Sm0.25 Sr0.5) (Mn O3)	BaPbO3(oI20)	Woodward, P.M.; Vogt, T.; Cox, D.E.; Arulraj, A.; Rao, C.N.R.; Karen, P.; Cheetham, A.K.	5.42352(3) 7.62476(4) 5.46335(3) 90. 90. 90.	225.93	293.00	0.101325	1998	10	
85649	P n m a	(La0.25 Nd0.25 Ca0.5) (Mn O3)	GdFeO3	Woodward, P.M.; Vogt, T.; Cox, D.E.; Arulraj, A.; Rao, C.N.R.; Karen, P.; Cheetham, A.K.	5.4077(2) 7.6246(1) 5.4047(2) 90. 90. 90.	222.84	293.00	0.101325	1998	10	
85653	P n m a	(Sm0.25 Y0.25 Ca0.5) (Mn O3)	GdFeO3	Woodward, P.M.; Vogt, T.; Cox, D.E.; Arulraj, A.; Rao, C.N.R.; Karen, P.; Cheetham, A.K.	5.4254(3) 7.5042(3) 5.3341(2) 90. 90. 90.	217.17	293.00	0.101325	1998	10	
86580	P n m a	(Pr0.5 Ca0.5) (Mn0.95 Cr0.05) O3	GdFeO3	Damay, F.; Martin, C.; Maignan, A.; Hervieu, M.; Raveau, B.; Bouree, F.; Andre, G.	5.4076(1) 7.6217(2) 5.3983(1) 90. 90. 90.	222.49	300.00	0.101325	1998	10	
86581	P n m a	(Pr0.5 Ca0.5) (Mn0.95 Cr0.05) O3	GdFeO3	Damay, F.; Martin, C.; Maignan, A.; Hervieu, M.; Raveau, B.; Bouree, F.; Andre, G.	5.4016(1) 7.6082(2) 5.3875(1) 90. 90. 90.	221.41	10.00	0.101325	1998	10	
86765	I m m a	(Pr0.5 Sr0.41 Ca0.09) Mn O3	BaPbO3(oI20)	Damay, F.; Jirak, Z.; Hervieu, M.; Martin, C.; Maignan, A.; Raveau, B.; Andre, G.; Bouree, F.	5.4312(2) 7.6250(3) 5.4729(2) 90. 90. 90.	226.65	300.00	0.101325	1998	10	
86767	P m m n Z	(Pr0.5 Sr0.41 Ca0.09) Mn O3		Damay, F.; Jirak, Z.; Hervieu, M.; Martin, C.; Maignan, A.; Raveau, B.; Andre, G.; Bouree, F.	10.8884(3) 7.5145(2) 5.5131(2) 90. 90. 90.	451.09	10.00	0.101325	1998	10	
86835	P n m a	La0.7 Ca0.11 Sr0.19 Mn O3	GdFeO3	Rodriguez-Martinez, L.M.; Attfield, J.P.	5.4586(1) 7.7146(2) 5.5005(1) 90. 90. 90.	231.63	4.00	0.101325	1998	10	
89441	F m m m	Bi2 Sr2 Nb2 Mn O11.57		Yu, W.J.; Kim, Y.I.; Ha, D.H.; Lee, J.-H.; Park, Y.K.; Seong, S.; Hur, N.H.	5.5243(4) 5.5246(3) 32.99959(90) 90. 90. 90.	1007.13	293.00	0.101325	1999	10	
90166	P b n m	(La0.625 Ca0.35) Mn O (O1.9 F0.05)	GdFeO3	Guo, Y.-Q.; Tao, K.; Liu, Y.-C.; Zhou, H.-P.; Wappling, R.	5.490(7) 5.471(2) 7.731(4) 90. 90. 90.	232.21	293.00	0.101325	2000	10	
90167	P b n m	(La0.625 Ca0.35) Mn O (O1.85 F0.1)	GdFeO3	Guo, Y.-Q.; Tao, K.; Liu, Y.-C.; Zhou, H.-P.; Wappling, R.	5.487(5) 5.470(5) 7.727(9) 90. 90. 90.	231.92	293.00	0.101325	2000	10	
90168	P b n m	(La0.6 Ca0.4) Mn O (O1.775 F0.175)	GdFeO3	Guo, Y.-Q.; Tao, K.; Liu, Y.-C.; Zhou, H.-P.; Wappling, R.	5.463 5.455(3) 7.713(1) 90. 90. 90.	229.85	293.00	0.101325	2000	10	
91573	P n m a	(Ca0.5 La0.5) (Mn0.5 Ru0.5) O3	GdFeO3	Horikubi, T.; Kamegashira, N.	5.5316(1) 7.7530(2) 5.4775(1) 90. 90. 90.	234.91	293.00	0.101325	2000	10	
