HMS,StructuredFormula,Temperature,Pressure,crystal_system,StructuredFormula_normalized
P 4/m m m,Nd Ba (Mn Co) O6,300.0,0.101325,tetragonal,NdBa(MnCo)O6
I 4/m c m,(Sr0.8 Ce0.2) (Mn0.8 Co0.2) O3,293.0,0.101325,tetragonal,(Sr0.8Ce0.2)(Mn0.8Co0.2)O3
I 4/m m m,Sr2 Mn2 Cu As2 O2,293.0,0.101325,tetragonal,Sr2Mn2CuAs2O2
I 4/m m m,Sr2 Mn (Mn1.26 Cu0.74) As2 O2,300.0,0.101325,tetragonal,Sr2Mn(Mn1.26Cu0.74)As2O2
I 41/a m d Z,Li0.60 Mg0.03 Mn0.44 Ni0.03 O,293.0,0.101325,tetragonal,Li0.60Mg0.03Mn0.44Ni0.03O
I 41/a m d Z,Li0.45 Mg0.03 Mn0.34 Ni0.14 O,293.0,0.101325,tetragonal,Li0.45Mg0.03Mn0.34Ni0.14O
I 4/m m m,(La1.5 Sr0.5) (Mn0.5 Cu0.5) O4,295.0,0.101325,tetragonal,(La1.5Sr0.5)(Mn0.5Cu0.5)O4
I 4/m m m,(La Sr) (Mn0.5 Cu0.5) O4,295.0,0.101325,tetragonal,(LaSr)(Mn0.5Cu0.5)O4
I 4/m m m,(Pr Sr) (Mn0.5 Cu0.5) O4,295.0,0.101325,tetragonal,(PrSr)(Mn0.5Cu0.5)O4
I 4/m m m,(Nd Sr) (Mn0.5 Cu0.5) O4,295.0,0.101325,tetragonal,(NdSr)(Mn0.5Cu0.5)O4
P 4/m b m,Ba2 La Mn (Nb4 O15),293.0,0.101325,tetragonal,Ba2LaMn(Nb4O15)
P 4/m n c,Cs6 Mn (H2 O)2 (V O3)8,298.0,0.101325,tetragonal,Cs6Mn(H2O)2(VO3)8
I 4/m m m,Mn Na1.6 Sr2 O2 Se2,300.0,0.101325,tetragonal,MnNa1.6Sr2O2Se2
I 4/m m m,Sr2 Mn Na1.66 O2 Se2,295.0,0.101325,tetragonal,Sr2MnNa1.66O2Se2
I 4/m m m,Sr2 Mn Na1.58 O2 Se2,295.0,0.101325,tetragonal,Sr2MnNa1.58O2Se2
I 4/m m m,Sr2 Mn Na1.68 O2 Se2,295.0,0.101325,tetragonal,Sr2MnNa1.68O2Se2
I 4/m m m,(La Sr2) ((Mn Cr) O6.95),293.0,0.101325,tetragonal,(LaSr2)((MnCr)O6.95)
I 4/m m m,(Ba F)2 Mn2 Se2 O,293.0,0.101325,tetragonal,(BaF)2Mn2Se2O
I 4/m m m,(Pr0.5 Sr1.5) (Cr0.5 Mn0.5) O4,293.0,0.101325,tetragonal,(Pr0.5Sr1.5)(Cr0.5Mn0.5)O4
I 4/m m m,(La0.6 Sr1.4) ((Mn0.5 Cr0.5) O4),293.0,0.101325,tetragonal,(La0.6Sr1.4)((Mn0.5Cr0.5)O4)
I 4/m m m,(La0.7 Sr1.3) ((Mn0.5 Cr0.5) O4),293.0,0.101325,tetragonal,(La0.7Sr1.3)((Mn0.5Cr0.5)O4)
I 4/m m m,(La0.8 Sr1.2) ((Mn0.5 Cr0.5) O4),293.0,0.101325,tetragonal,(La0.8Sr1.2)((Mn0.5Cr0.5)O4)
I 4/m,Ba La Mn Sb O6,293.0,0.101325,tetragonal,BaLaMnSbO6
I 4/m c m,(Sr0.7 Ca0.3) (Ti0.5 Mn0.5) O3,293.0,0.101325,tetragonal,(Sr0.7Ca0.3)(Ti0.5Mn0.5)O3
I 4/m c m,(Sr0.6 Ca0.4) (Ti0.5 Mn0.5) O3,293.0,0.101325,tetragonal,(Sr0.6Ca0.4)(Ti0.5Mn0.5)O3
I 4/m m m,(La0.5 Sr1.5) ((Mn0.91 Ru0.09) O4),300.0,0.101325,tetragonal,(La0.5Sr1.5)((Mn0.91Ru0.09)O4)
I 4/m m m,(La0.5 Sr1.5) ((Mn0.83 Ru0.17) O4),300.0,0.101325,tetragonal,(La0.5Sr1.5)((Mn0.83Ru0.17)O4)
I 4/m m m,(La0.5 Sr1.5) ((Mn0.70 Ru0.30) O4),300.0,0.101325,tetragonal,(La0.5Sr1.5)((Mn0.70Ru0.30)O4)
I 4/m m m,(La0.5 Sr1.5) ((Mn0.59 Ru0.41) O4),300.0,0.101325,tetragonal,(La0.5Sr1.5)((Mn0.59Ru0.41)O4)
I 4/m m m,(La0.5 Sr1.5) (Mn0.5 Cr0.5) O3.96,293.0,0.101325,tetragonal,(La0.5Sr1.5)(Mn0.5Cr0.5)O3.96
P 4/m m m,Nd Ba Co1.5 Mn0.5 O5.60,293.0,0.101325,tetragonal,NdBaCo1.5Mn0.5O5.60
P 4/m m m,Nd Ba Co Mn O5.62,293.0,0.101325,tetragonal,NdBaCoMnO5.62
P 4/m m m,(Y0.5 La0.5) Ba (Mn2 O6),293.0,0.101325,tetragonal,(Y0.5La0.5)Ba(Mn2O6)
I 4/m,Ba2 (Nd0.89 Mn0.11) (Mo O6),298.0,0.101325,tetragonal,Ba2(Nd0.89Mn0.11)(MoO6)
I 4/m,Ba2 (Nd0.79 Mn0.21) (Mo O6),298.0,0.101325,tetragonal,Ba2(Nd0.79Mn0.21)(MoO6)
I 4/m,Ba2 (Nd0.7 Mn0.3) (Mo O6),298.0,0.101325,tetragonal,Ba2(Nd0.7Mn0.3)(MoO6)
P 4/n m m Z,Nd Mn As (O0.95 F0.05),290.0,0.101325,tetragonal,NdMnAs(O0.95F0.05)
I 4/m m m,(La1.1 Bi0.3 Sr1.6) (Mn2 O7),293.0,0.101325,tetragonal,(La1.1Bi0.3Sr1.6)(Mn2O7)
I 4/m m m,Sr2 Mn0.5 Ir0.5 O2.66 H1.33,298.0,0.101325,tetragonal,Sr2Mn0.5Ir0.5O2.66H1.33
I 4/m m m,Sr2 Mn0.5 Ir0.5 O3.25 H0.75,298.0,0.101325,tetragonal,Sr2Mn0.5Ir0.5O3.25H0.75
I 41/a c d Z,Zr0.94 (Mg1.55 Mn4.45) Si O12,293.0,0.101325,tetragonal,Zr0.94(Mg1.55Mn4.45)SiO12
P 42/n Z,Ce2 Mn Zn (Mn2 Sb2) O12,295.0,0.101325,tetragonal,Ce2MnZn(Mn2Sb2)O12
P 4/n b m Z,Ce Mn1.5 Co0.5 Ge4 O12,293.0,0.101325,tetragonal,CeMn1.5Co0.5Ge4O12
P 4/n b m Z,Ce Mn Co Ge4 O12,293.0,0.101325,tetragonal,CeMnCoGe4O12
P 4/n b m Z,Ce Mn0.5 Co1.5 Ge4 O12,293.0,0.101325,tetragonal,CeMn0.5Co1.5Ge4O12
P 4/n b m Z,Ce Mn1.5 Ni0.5 Ge4 O12,293.0,0.101325,tetragonal,CeMn1.5Ni0.5Ge4O12
P 42/m n m,Y Sr Ca Mn2 O7,298.0,0.101325,tetragonal,YSrCaMn2O7
P 42/m n m,Y Sr2 Mn2 O5.5 F3.5,298.0,0.101325,tetragonal,YSr2Mn2O5.5F3.5
I 4/m m m,Ba2 Mn O2 Ag2 Te2,293.0,0.101325,tetragonal,Ba2MnO2Ag2Te2
I 4/m m m,Ag3.71 Ba4 Mn2 O4 Se4,298.0,0.101325,tetragonal,Ag3.71Ba4Mn2O4Se4
I 4/m m m,La1.4 (Sr0.95 Ca0.05)1.6 Mn2 O7,293.0,0.101325,tetragonal,La1.4(Sr0.95Ca0.05)1.6Mn2O7
I 4/m m m,(La0.5 Sr1.5) (Mn0.5 Fe0.5) O4,293.0,0.101325,tetragonal,(La0.5Sr1.5)(Mn0.5Fe0.5)O4
I 4/m m m,(Nd0.5 Sr1.5) (Mn0.5 Fe0.5) O4,293.0,0.101325,tetragonal,(Nd0.5Sr1.5)(Mn0.5Fe0.5)O4
I 4/m m m,(Gd0.5 Sr1.5) (Mn0.5 Fe0.5) O4,293.0,0.101325,tetragonal,(Gd0.5Sr1.5)(Mn0.5Fe0.5)O4
I 4/m m m,(Dy0.5 Sr1.5) (Mn0.5 Fe0.5) O4,293.0,0.101325,tetragonal,(Dy0.5Sr1.5)(Mn0.5Fe0.5)O4
P 4/n m m Z,Mn (Nd0.95 Sr0.05) O As,290.0,0.101325,tetragonal,Mn(Nd0.95Sr0.05)OAs
P 4/n m m Z,Mn (Nd0.9 Sr0.1) O As,290.0,0.101325,tetragonal,Mn(Nd0.9Sr0.1)OAs
P 42/n m c Z,Gd Mn (Ga0.5 Ti0.5)2 O6,295.0,0.101325,tetragonal,GdMn(Ga0.5Ti0.5)2O6
P 42/n m c Z,Sm Mn (Ga0.5 Ti0.5)2 O6,295.0,0.101325,tetragonal,SmMn(Ga0.5Ti0.5)2O6
I 4/m c m,(Sr0.6 Ca0.3 Ce0.1) (Mn O3),293.0,0.101325,tetragonal,(Sr0.6Ca0.3Ce0.1)(MnO3)
I 4/m m m,(La0.8 Sr1.2) (Co0.5 Mn0.5) O3.6,293.0,0.101325,tetragonal,(La0.8Sr1.2)(Co0.5Mn0.5)O3.6
I 4/m m m,(La Sr) (Co0.5 Mn0.5) O3.75,293.0,0.101325,tetragonal,(LaSr)(Co0.5Mn0.5)O3.75
I 4/m m m,(La1.2 Sr0.8) (Co0.5 Mn0.5) O3.85,293.0,0.101325,tetragonal,(La1.2Sr0.8)(Co0.5Mn0.5)O3.85
I 4/m m m,Ca4 (Mn1.36 Fe1.64) O8 Cl2,293.0,0.101325,tetragonal,Ca4(Mn1.36Fe1.64)O8Cl2
I 4/m m m,(La Sr2) ((Co Mn) O7),295.0,0.101325,tetragonal,(LaSr2)((CoMn)O7)
I 4/m m m,(La1.2 Sr1.8) ((Co Mn) O7),295.0,0.101325,tetragonal,(La1.2Sr1.8)((CoMn)O7)
I 4/m m m,(La Sr2) ((Co Mn) O6),295.0,0.101325,tetragonal,(LaSr2)((CoMn)O6)
I 4/m m m,(La1.2 Sr1.8) ((Co Mn) O6),295.0,0.101325,tetragonal,(La1.2Sr1.8)((CoMn)O6)
I 4/m m m,(Sr2 Mn O2) (Cu1.52 Se2),298.0,0.101325,tetragonal,(Sr2MnO2)(Cu1.52Se2)
I 4/m m m,(Sr2 Mn O2) (Ag1.44 Se2),298.0,0.101325,tetragonal,(Sr2MnO2)(Ag1.44Se2)
I 4/m m m,(Pr0.5 Sr1.5) (Co0.5 Mn0.5) O4,293.0,0.101325,tetragonal,(Pr0.5Sr1.5)(Co0.5Mn0.5)O4
I 4/m m m,(Pr1.13 Sr0.87) (Co0.5 Mn0.5) O4,293.0,0.101325,tetragonal,(Pr1.13Sr0.87)(Co0.5Mn0.5)O4
I 4/m c m,Mn0.28 Ba12 (B O3)7.44 F2.24,293.0,0.101325,tetragonal,Mn0.28Ba12(BO3)7.44F2.24
P 42/m b c,Bi4 Fe4.2 Mn0.8 O13 F,293.0,0.101325,tetragonal,Bi4Fe4.2Mn0.8O13F
I 4/m,Ba1.3 La0.7 Mn Sb O6,300.0,0.101325,tetragonal,Ba1.3La0.7MnSbO6
I 4/m,Ba1.4 La0.6 Mn Sb O6,300.0,0.101325,tetragonal,Ba1.4La0.6MnSbO6
I 4/m,Ba1.5 La0.5 Mn Sb O6,300.0,0.101325,tetragonal,Ba1.5La0.5MnSbO6
I 4/m,Ba1.6 La0.4 Mn Sb O6,300.0,0.101325,tetragonal,Ba1.6La0.4MnSbO6
I 4/m,Ba1.7 La0.3 Mn Sb O6,300.0,0.101325,tetragonal,Ba1.7La0.3MnSbO6
P 4/n b m Z,Y Mn Fe Ge4 O12,293.0,0.101325,tetragonal,YMnFeGe4O12
P 4/n b m Z,Eu Mn Fe Ge4 O12,293.0,0.101325,tetragonal,EuMnFeGe4O12
P 4/n b m Z,Lu Mn Fe Ge4 O12,293.0,0.101325,tetragonal,LuMnFeGe4O12
P 4/n m m Z,Nd Mn As O0.95 F0.05,290.0,0.101325,tetragonal,NdMnAsO0.95F0.05
I 4/m c m,(Ca0.2 Sr0.6 Nd0.2) Mn O3,293.0,0.101325,tetragonal,(Ca0.2Sr0.6Nd0.2)MnO3
I 41/a c d Z,((Al1.97 Fe0.03) Mn3)  (Si0.87 O4)3,293.0,0.101325,tetragonal,((Al1.97Fe0.03)Mn3)(Si0.87O4)3
P 4 b m,Ba2 Mn (Si2 O7) Cl,300.0,0.101325,tetragonal,Ba2Mn(Si2O7)Cl
I 41/a c d Z,Mn (Mn5.3 Ga0.7) (Ge0.4 Si0.6) O12,300.0,0.101325,tetragonal,Mn(Mn5.3Ga0.7)(Ge0.4Si0.6)O12
P 4/m m m,Y Ba Co Mn O5,295.0,0.101325,tetragonal,YBaCoMnO5
P 42/m n m,Rb K Mn (V2 O7),293.0,0.101325,tetragonal,RbKMn(V2O7)
P 4/m m m,Nd0.75 Pr0.25 Ba Mn2 O6,293.0,0.101325,tetragonal,Nd0.75Pr0.25BaMn2O6
P 4/m m m,Nd0.5 Pr0.5 Ba Mn2 O6,293.0,0.101325,tetragonal,Nd0.5Pr0.5BaMn2O6
P 4/m m m,Nd0.25 Pr0.75 Ba Mn2 O6,293.0,0.101325,tetragonal,Nd0.25Pr0.75BaMn2O6
P 42/n b c Z,Mn0.56 Ca0.30 Zn0.12 Te2 O5,293.0,0.101325,tetragonal,Mn0.56Ca0.30Zn0.12Te2O5
P 4/n m m Z,(La0.998 Ca0.002) Mn As O,300.0,0.101325,tetragonal,(La0.998Ca0.002)MnAsO
P 4/m m m,Pr Ba Mn Fe O5,293.0,0.101325,tetragonal,PrBaMnFeO5
P 4/m m m,Pr Ba Mn Fe O6,293.0,0.101325,tetragonal,PrBaMnFeO6
I 4/m m m,K7 (Mn V13 O38) (H2 O)18,293.0,0.101325,tetragonal,K7(MnV13O38)(H2O)18
I 4/m m m,(Sr Pr) (Co0.5 Mn0.5) O4,293.0,0.101325,tetragonal,(SrPr)(Co0.5Mn0.5)O4
I 4/m m m,(Sr Nd) (Co0.5 Mn0.5) O4,293.0,0.101325,tetragonal,(SrNd)(Co0.5Mn0.5)O4
I 4/m m m,(Sr Pr) (Co0.5 Mn0.5) O4,300.0,0.101325,tetragonal,(SrPr)(Co0.5Mn0.5)O4
