CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
173771	P 63/m m c	(Sr0.66 Ba0.3 La0.04) Mn O3	BaMnO3	Taguchi, H.; Hirata, K.; Kato, M.; Hirota, K.	5.5122(1) 5.5122(1) 9.1263(2) 90. 90. 120.	240.15	293.00	0.101325	2009	10	
173772	P 63/m m c	(Sr0.58 Ba0.4 La0.02) Mn O3	BaMnO3	Taguchi, H.; Hirata, K.; Kato, M.; Hirota, K.	5.5342(4) 5.5342(4) 9.1341(5) 90. 90. 120.	242.27	293.00	0.101325	2009	10	
176702	P 63/m m c	Na0.667 Mn0.583 Fe0.333 Ti0.083 O2	NaxCoO2	Peng, Jiali; Sarapulova, Angelina; Fu, Qiang; Li, Hang; Liu, Hao; Dolotko, Oleksandr; Bergfeldt, Thomas; Kleiner, Karin; Ying, Bixian; Wu, Yi; Baran, Volodymyr; Welter, Edmund; Nagel, Peter; Schuppler, Stefan; Merz, Michael; Knapp, Michael; Ehrenberg, Helmut; Indris, Sylvio	2.91911(11) 2.91911(11) 11.23690(102) 90. 90. 120.	82.92	293.00	0.101325	2024	10	
178721	P 63/m	Y1.632 Ca2.368 Mn3 O3 (B O3)4		Moshkina, Evgeniya; Belskaya, Nadejda; Bashleev, Zorigto; Molokeev, Maxim; Soloviev, Leonid; Shabanova, Ksenia	10.5778(9) 10.5778(9) 5.8650(5) 90 90 120	568.31	296.00	0.101325	2022	10	
178722	P 63/m	Gd1.199 Ca2.801 Mn3 O3 (B O3)4	Ca4Mn3(BO3)3CO3O3	Moshkina, Evgeniya; Belskaya, Nadejda; Bashleev, Zorigto; Molokeev, Maxim; Soloviev, Leonid; Shabanova, Ksenia	10.619(2) 10.619(2) 5.8675(12) 90 90 120	572.99	296.00	0.101325	2022	10	
194370	P 63/m m c	(K0.35 Rb0.65) Mn3 O2 (Ge2 O7)		Williams, Matthew S.; West, J. Palmer; Hwu, Shiou-Jyh	5.8841(8) 5.8841(8) 13.795(3) 90.00 90.00 120.00	413.63	293.00	0.101325	2014	10	
202289	P 63/m m c	La0.96 Mn In0.5 Ga10.5 O19	PbFe12O19(P63/mmc)	Lefebvre, D.; Kahn, A.; Thery, J.	5.865(4) 5.865(4) 22.990(20) 90. 90. 120.	684.87	293.00	0.101325	1987	10	
213866	P 63 m c	Cs Mn3 F6 (Se O3)2	KSe2V3O12	Lee, Suheon; Zhu, Tianyu; Oshima, Y.; Shiroka, T.; Wang, C.; Luetkens, H.; Yang, Haoming; Lü, Minfeng; Choi, K.-Y.	7.3891(7) 7.3891(7) 11.5009(18) 90 90 120	543.80	293.00	0.101325	2022	10	
214859	P 63/m m c	Na0.67 (Fe0.3333 Mg0.0417 Mn0.625) O2	NaxCoO2	Cao, Ming-Hui; Li, Ren-Yan; Sun, Qing-Wen; Cui, Miao; Guo, Ze-Wei; Ma, Lu; Shadike, Zulipiya; Fu, Zheng-Wen	2.9095(3) 2.9095(3) 11.2681(7) 90. 90. 120.	82.61	293.00	0.101325	2024	10	
214860	P 63/m m c	Na0.67 (Fe0.3333 Mg0.0833 Mn0.5833) O2	NaxCoO2	Cao, Ming-Hui; Li, Ren-Yan; Sun, Qing-Wen; Cui, Miao; Guo, Ze-Wei; Ma, Lu; Shadike, Zulipiya; Fu, Zheng-Wen	2.9184(5) 2.9184(5) 11.2779(3) 90. 90. 120.	83.19	293.00	0.101325	2024	10	
214861	P 63/m m c	Na0.67 (Fe0.3333 Mg0.1667 Mn0.5) O2	NaxCoO2	Cao, Ming-Hui; Li, Ren-Yan; Sun, Qing-Wen; Cui, Miao; Guo, Ze-Wei; Ma, Lu; Shadike, Zulipiya; Fu, Zheng-Wen	2.9231(8) 2.9231(8) 11.25558(4) 90. 90. 120.	83.29	293.00	0.101325	2024	10	
239067	P 63/m	Pb Mn2 Ni6 Te3 O18	PbMn2(Ni6Te3O18)	Doi, Yoshihiro; Suzuki, Ryo; Hinatsu, Yukio; Kodama, Katsuaki; Igawa, Naoki	9.2838(2) 9.2838(2) 8.8150(2) 90 90 120	657.96	293.00	0.101325	2015	10	
239069	P 63/m	Pb Mn2 Ni6 Te3 O18	PbMn2(Ni6Te3O18)	Doi, Yoshihiro; Suzuki, Ryo; Hinatsu, Yukio; Kodama, Katsuaki; Igawa, Naoki	9.2741(2) 9.2741(2) 8.8070(1) 90 90 120	655.99	18.00	0.101325	2015	10	
239070	P 63/m	Pb Mn2 Ni6 Te3 O18	PbMn2(Ni6Te3O18)	Doi, Yoshihiro; Suzuki, Ryo; Hinatsu, Yukio; Kodama, Katsuaki; Igawa, Naoki	9.2789(1) 9.2789(1) 8.8124(1) 90 90 120	657.07	150.00	0.101325	2015	10	
249905	P 63/m	Na3 La Mn3 O3 (As O4)3	Na3LaMn3O3(AsO4)3	West, J.P.; Hwu Shiou-Jyh; Queen, W.L.	11.167(2) 11.167(2) 6.035(1) 90.00 90.00 120.00	651.75	293.00	0.101325	2009	10	
249906	P 63/m	Na3 Sm Mn3 O3 (As O4)3	Na3LaMn3O3(AsO4)3	West, J.P.; Hwu Shiou-Jyh; Queen, W.L.	11.081(2) 11.081(2) 6.020(1) 90.00 90.00 120.00	640.15	293.00	0.101325	2009	10	
249907	P 63/m	Na3 Gd Mn3 O3 (As O4)3	Na3LaMn3O3(AsO4)3	West, J.P.; Hwu Shiou-Jyh; Queen, W.L.	11.091(2) 11.091(2) 5.954(1) 90.00 90.00 120.00	634.28	293.00	0.101325	2009	10	
258985	P 63/m m c	Ca Al10.02 Sn0.98 Mn1.00 O19	PbFe12O19(P63/mmc)	Medina, Elena A.; Li, Jun; Subramanian, M.A.	5.6402(6) 5.6402(6) 22.379(9) 90. 90. 120.	616.54	293.00	0.101325	2017	10	
