CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
193323	P 1 21/n 1	(La1.5 Tb0.5) Co Mn O6	Ba2LaRuO6(mcl)	Blasco, J.; Garcia, J.; Subias, G.; Stankiewicz, J.; Lafuerza, S.; Rodriguez-Velamazan, J.A.; Ritter, C.; Garcia-Munoz, J.L.	5.5036(6) 5.5317(6) 7.7817(9) 90. 90.03(9) 90.	236.91	283.00	0.101325	2014	10	
193324	P 1 21/n 1	(La Tb) Co Mn O6	Ba2LaRuO6(mcl)	Blasco, J.; Garcia, J.; Subias, G.; Stankiewicz, J.; Lafuerza, S.; Rodriguez-Velamazan, J.A.; Ritter, C.; Garcia-Munoz, J.L.	5.4356(4) 5.5602(4) 7.7098(6) 90. 89.87(1) 90.	233.01	285.00	0.101325	2014	10	
193325	P 1 21/n 1	(La0.5 Tb1.5) Co Mn O6	Ba2LaRuO6(mcl)	Blasco, J.; Garcia, J.; Subias, G.; Stankiewicz, J.; Lafuerza, S.; Rodriguez-Velamazan, J.A.; Ritter, C.; Garcia-Munoz, J.L.	5.3734(4) 5.5915(4) 7.6359(6) 90. 89.92(2) 90.	229.42	284.00	0.101325	2014	10	
195627	P 1 21/n 1	(Mn0.53 Ca0.47)2 Fe Re O6	Ba2LaRuO6(mcl)	Arevalo-Lopez, Angel M.; McNally, Graham M.; Attfield, J. Paul	5.3809(1) 5.3668(1) 7.6094(2) 90. 89.994(7) 90.	219.75	300.00	0.101325	2015	10	
195936	C 1 2/c 1	Na Mn ((V0.1 Ge1.9) O6)	CaMg(SiO3)2	Redhammer, Guenther J.; Tippelt, Gerold	9.9611(13) 8.8630(11) 5.5598(7) 90 106.3818(13) 90	470.92	293.00	0.101325	2014	10	
196426	P 1 21/m 1	Pb2 Mn (V O4)2 (O H)	MnPb2(VO4)2(OH)	Lafuente, Barbara; Downs, Robert T.	7.64920(10) 6.12620(10) 8.9241(2) 90 112.1950(10) 90	387.20	293.00	0.101325	2016	10	
200020	C 1 2 1	Cs (Mn F4 (H2 O)2)		Dubler, E.; Linowsky, L.; Matthieu, J.P.; Oswald, H.R.	11.891(2) 6.589(1) 10.558(1) 90. 131.46(1) 90.	619.93	293.00	0.101325	1977	10	
200936	C 1 c 1	Na2 Zn2 Mn B4.68 O11		Bondareva, O.S.; Malinovskii, Yu.A.; Belov, N.V.	4.972(1) 8.613(2) 19.513(7) 90. 90.02(2) 90.	835.62	293.00	0.101325	1980	10	
202650	C 1 2/c 1	K Mn F4 (H2 O)	KMnF4(H2O)	Palacio, F.; Andres, M.; Esteban-Calderon, C.; Martinez-Ripoll, M.; Garcia Blanco, S.	13.907(1) 6.2136(2) 10.492(1) 90. 104.69(1) 90.	877.00	293.00	0.101325	1988	10	
203214	C 1 2/m 1	K2 (Mn3 (O H)2 (V O4)2)		Liao, J.-H.; Guyomard, D.; Piffard, Y.; Tournoux, M.	15.204(2) 6.1593(5) 5.3998(4) 90. 105.401(9) 90.	487.51	293.00	0.101325	1996	10	
205205	P 1 21/n 1	(Mn (H2 O)2 Cl3 (N H3 N H2))		Chalmers, James E.; Srivastava, Anant Kumar; Dixey, Richard J.C.; Sivakumaran, Krrishna; Saines, Paul J.	5.54110(10) 13.9707(3) 9.9630(3) 90 92.648(2) 90	770.44	293.00	0.101325	2019	10	
206682	P 1 21/c 1	Cu2 (Mn0.85 Ga0.15) (B O3) O2		Moshkina, Evgeniya; Krylov, Alexander; Kokh, Dieter; Shabanova, Ksenia; Molokeev, Maxim; Bovina, Asya; Plyaskin, Mikhail; Rostovtsev, Nikita; Bezmaternykh, Leonard	3.13370(10) 9.4016(4) 12.0493(6) 90 92.3850(10) 90	354.68	296.00	0.101325	2022	10	
206683	P 1 21/c 1	Cu2 (Mn0.804 Ga0.202) (B O3) O2	Mg2FeBO5	Moshkina, Evgeniya; Krylov, Alexander; Kokh, Dieter; Shabanova, Ksenia; Molokeev, Maxim; Bovina, Asya; Plyaskin, Mikhail; Rostovtsev, Nikita; Bezmaternykh, Leonard	3.1667(8) 11.995(3) 9.406(2) 90 96.229(6) 90	355.17	296.00	0.101325	2022	10	
207099	P 1 21/m 1	Cs Mn2 (Mo O4)2 (O H)	MnPb2(VO4)2(OH)	Smith Pellizzeri, Tiffany M.; McMillen, Colin D.; Kolis, Joseph W.	8.3056(4) 6.1896(2) 9.3361(4) 90 99.862(2) 90	472.86	298.00	0.101325	2019	10	
211071	C 1 c 1	(Co (N H3)5 N3) (Mn O4)2 (H2 O)		Bala, Ritu; Kim, Jinkwon; Prakash, Vinit	9.4996(15) 12.110(2) 12.704(2) 90.00 107.733(9) 90.00	1392.03	293.00	0.101325	2021	10	
